ID	start	end	strand	phrog_id	phrog_category	phynteny_category	phynteny_score	phynteny_confidence	phage
KY779849.1_227	131917	132223	+	654	unknown function	moron, auxiliary metabolic gene and host takeover	6.5953	0.2390	KY779849.1
KY779849.1_228	132222	132630	+	6562	unknown function	moron, auxiliary metabolic gene and host takeover	7.1567	0.2602	KY779849.1
KY779849.1_229	132640	132877	+	7553	transcription regulation	NA	NA	NA	KY779849.1
KY779849.1_230	132873	133401	+	547	other	NA	NA	NA	KY779849.1
KY779849.1_231	133381	133693	+	7962	unknown function	DNA, RNA and nucleotide metabolism	1.2668	0.2571	KY779849.1
KY779849.1_232	133738	133918	+	4743	unknown function	moron, auxiliary metabolic gene and host takeover	9.6659	0.7627	KY779849.1
KY779849.1_233	133932	134196	+	4418	unknown function	DNA, RNA and nucleotide metabolism	1.1570	0.2052	KY779849.1
KY779849.1_234	134198	134516	+	4081	unknown function	DNA, RNA and nucleotide metabolism	1.0890	0.1898	KY779849.1
KY779849.1_235	134516	135170	+	4650	unknown function	DNA, RNA and nucleotide metabolism	2.6669	0.2156	KY779849.1
KY779849.1_236	135247	135451	+	7235	DNA, RNA and nucleotide metabolism	NA	NA	NA	KY779849.1
KY779849.1_237	135466	135625	+	4430	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	KY779849.1
KY779849.1_238	135640	135865	+	7618	unknown function	DNA, RNA and nucleotide metabolism	1.2740	0.1840	KY779849.1
KY779849.1_239	135877	136078	+	3453	unknown function	DNA, RNA and nucleotide metabolism	1.2355	0.1883	KY779849.1
KY779849.1_240	136078	136369	+	4096	unknown function	moron, auxiliary metabolic gene and host takeover	7.4032	0.3117	KY779849.1
KY779849.1_241	136461	136755	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	KY779849.1
KY779849.1_242	136751	137660	+	619	other	NA	NA	NA	KY779849.1
KY779849.1_243	137677	139147	+	448	other	NA	NA	NA	KY779849.1
KY779849.1_244	139225	139471	+	4028	unknown function	moron, auxiliary metabolic gene and host takeover	3.6949	0.2959	KY779849.1
KY779849.1_245	139490	139883	+	3847	unknown function	moron, auxiliary metabolic gene and host takeover	3.4601	0.1993	KY779849.1
KY779849.1_246	139884	140082	+	4340	unknown function	moron, auxiliary metabolic gene and host takeover	5.7271	0.2361	KY779849.1
KY779849.1_247	140147	140459	+	6716	other	NA	NA	NA	KY779849.1
KY779849.1_248	140464	140764	+	7070	unknown function	DNA, RNA and nucleotide metabolism	1.1300	0.1951	KY779849.1
KY779849.1_249	140763	141003	+	11635	unknown function	integration and excision	1.2760	0.1886	KY779849.1
KY779849.1_250	140992	141154	+	13028	unknown function	moron, auxiliary metabolic gene and host takeover	7.1995	0.2887	KY779849.1
KY779849.1_251	141150	141486	+	4637	unknown function	integration and excision	2.1507	0.1833	KY779849.1
KY779849.1_252	141485	141704	+	1411	unknown function	moron, auxiliary metabolic gene and host takeover	7.0655	0.2959	KY779849.1
KY779849.1_253	141741	142017	+	14594	unknown function	integration and excision	1.9856	0.1588	KY779849.1
KY779849.1_254	142078	142246	+	5729	unknown function	moron, auxiliary metabolic gene and host takeover	4.4338	0.2063	KY779849.1
KY779849.1_255	142282	142384	+	7862	unknown function	moron, auxiliary metabolic gene and host takeover	9.1123	0.5314	KY779849.1
MF398190.1_0	84	180	-	No_PHROG	unknown function	head and packaging	1.0774	0.1608	MF398190.1
MF398190.1_1	273	381	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.3315	0.1790	MF398190.1
MF398190.1_2	485	785	+	654	unknown function	DNA, RNA and nucleotide metabolism	3.4366	0.2103	MF398190.1
MF398190.1_3	800	986	+	3204	unknown function	moron, auxiliary metabolic gene and host takeover	8.0748	0.3680	MF398190.1
MF398190.1_4	1092	1383	+	654	unknown function	integration and excision	2.2503	0.2015	MF398190.1
MF398190.1_5	1382	1670	+	654	unknown function	DNA, RNA and nucleotide metabolism	2.2096	0.2063	MF398190.1
MF398190.1_6	1669	1963	+	654	unknown function	DNA, RNA and nucleotide metabolism	2.1928	0.2095	MF398190.1
MF398190.1_7	1966	2224	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_8	2301	2541	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_9	2551	2899	+	3522	unknown function	DNA, RNA and nucleotide metabolism	1.5866	0.1925	MF398190.1
MF398190.1_10	3107	3446	-	3077	unknown function	DNA, RNA and nucleotide metabolism	1.3345	0.2323	MF398190.1
MF398190.1_11	3424	3583	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	5.8122	0.3211	MF398190.1
MF398190.1_12	3596	3710	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.3281	0.2008	MF398190.1
MF398190.1_13	3756	4065	+	2601	unknown function	DNA, RNA and nucleotide metabolism	2.6651	0.1816	MF398190.1
MF398190.1_14	4083	4218	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.3838	0.1556	MF398190.1
MF398190.1_15	4270	4555	+	3164	unknown function	DNA, RNA and nucleotide metabolism	2.2114	0.1831	MF398190.1
MF398190.1_16	4629	4821	+	3388	other	NA	NA	NA	MF398190.1
MF398190.1_17	4807	4903	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.0184	0.1808	MF398190.1
MF398190.1_18	4929	5070	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	3.1290	0.1655	MF398190.1
MF398190.1_19	5137	5626	-	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_20	5747	5891	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.4175	0.1873	MF398190.1
MF398190.1_21	5963	6059	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	5.6491	0.2824	MF398190.1
MF398190.1_22	6021	6153	+	3837	unknown function	DNA, RNA and nucleotide metabolism	2.1955	0.1804	MF398190.1
MF398190.1_23	6320	6644	+	3276	unknown function	DNA, RNA and nucleotide metabolism	1.1588	0.2273	MF398190.1
MF398190.1_24	6743	6980	+	3480	unknown function	integration and excision	1.2658	0.1769	MF398190.1
MF398190.1_25	7059	7530	+	2543	unknown function	moron, auxiliary metabolic gene and host takeover	7.3823	0.2769	MF398190.1
MF398190.1_26	7559	7685	+	7733	unknown function	DNA, RNA and nucleotide metabolism	1.8897	0.1978	MF398190.1
MF398190.1_27	7769	7949	+	4863	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_28	8032	8134	+	22992	unknown function	moron, auxiliary metabolic gene and host takeover	5.5135	0.2194	MF398190.1
MF398190.1_29	8203	8299	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	5.9942	0.2486	MF398190.1
MF398190.1_30	8282	8519	-	2884	unknown function	moron, auxiliary metabolic gene and host takeover	7.4417	0.3189	MF398190.1
MF398190.1_31	8520	9006	-	7534	unknown function	DNA, RNA and nucleotide metabolism	1.2799	0.2511	MF398190.1
MF398190.1_32	9018	9426	-	5770	unknown function	moron, auxiliary metabolic gene and host takeover	9.0619	0.5181	MF398190.1
MF398190.1_33	9425	9857	-	4355	unknown function	moron, auxiliary metabolic gene and host takeover	8.5945	0.4171	MF398190.1
MF398190.1_34	9859	10051	-	4249	unknown function	moron, auxiliary metabolic gene and host takeover	9.6407	0.7420	MF398190.1
MF398190.1_35	10047	10533	-	3619	unknown function	moron, auxiliary metabolic gene and host takeover	9.4959	0.6660	MF398190.1
MF398190.1_36	10525	10957	-	2349	unknown function	DNA, RNA and nucleotide metabolism	2.0617	0.1759	MF398190.1
MF398190.1_37	10970	11513	-	4045	unknown function	DNA, RNA and nucleotide metabolism	5.9432	0.2459	MF398190.1
MF398190.1_38	11524	12013	-	1017	unknown function	DNA, RNA and nucleotide metabolism	9.6514	0.7524	MF398190.1
MF398190.1_39	12025	12424	-	3857	unknown function	DNA, RNA and nucleotide metabolism	4.4841	0.2019	MF398190.1
MF398190.1_40	12420	13128	-	246	other	NA	NA	NA	MF398190.1
MF398190.1_41	13227	13782	-	2981	unknown function	DNA, RNA and nucleotide metabolism	1.4202	0.1828	MF398190.1
MF398190.1_42	13797	14115	-	4178	tail	NA	NA	NA	MF398190.1
MF398190.1_43	14183	14297	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.1085	0.1609	MF398190.1
MF398190.1_44	14305	14482	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.4406	0.1626	MF398190.1
MF398190.1_45	14478	14607	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.3830	0.1526	MF398190.1
MF398190.1_46	14684	14885	-	27748	unknown function	DNA, RNA and nucleotide metabolism	1.1953	0.1838	MF398190.1
MF398190.1_47	14884	14986	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	2.1028	0.1560	MF398190.1
MF398190.1_48	15100	15649	-	2948	unknown function	moron, auxiliary metabolic gene and host takeover	7.7409	0.3068	MF398190.1
MF398190.1_49	15652	15871	-	3686	unknown function	moron, auxiliary metabolic gene and host takeover	7.4509	0.2818	MF398190.1
MF398190.1_50	15871	16066	-	3950	unknown function	DNA, RNA and nucleotide metabolism	1.5717	0.2054	MF398190.1
MF398190.1_51	16055	16793	-	3464	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_52	16855	16960	-	5230	unknown function	moron, auxiliary metabolic gene and host takeover	7.7467	0.3080	MF398190.1
MF398190.1_53	16971	17211	-	3697	unknown function	DNA, RNA and nucleotide metabolism	1.0443	0.2119	MF398190.1
MF398190.1_54	17212	17602	-	28554	other	NA	NA	NA	MF398190.1
MF398190.1_55	17700	17874	-	3504	other	NA	NA	NA	MF398190.1
MF398190.1_56	17914	18397	-	3319	unknown function	DNA, RNA and nucleotide metabolism	1.4966	0.1984	MF398190.1
MF398190.1_57	18446	18989	-	3635	unknown function	DNA, RNA and nucleotide metabolism	1.2842	0.1829	MF398190.1
MF398190.1_58	18988	19522	-	3702	unknown function	DNA, RNA and nucleotide metabolism	1.0050	0.2138	MF398190.1
MF398190.1_59	19524	19689	-	152	transcription regulation	NA	NA	NA	MF398190.1
MF398190.1_60	19691	19967	-	3751	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_61	19966	20812	-	1909	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_62	20823	21942	-	249	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_63	21957	22065	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.7355	0.1603	MF398190.1
MF398190.1_64	22095	22422	-	2861	unknown function	DNA, RNA and nucleotide metabolism	1.1721	0.1892	MF398190.1
MF398190.1_65	22414	22831	-	2708	other	NA	NA	NA	MF398190.1
MF398190.1_66	22964	23267	-	715	other	NA	NA	NA	MF398190.1
MF398190.1_67	23266	23455	-	3048	unknown function	DNA, RNA and nucleotide metabolism	1.1874	0.2125	MF398190.1
MF398190.1_68	23498	23660	-	2966	unknown function	DNA, RNA and nucleotide metabolism	1.0850	0.2017	MF398190.1
MF398190.1_69	23659	25708	-	3200	unknown function	DNA, RNA and nucleotide metabolism	2.6492	0.1988	MF398190.1
MF398190.1_70	25785	26049	-	2811	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_71	26065	26239	-	1274	lysis	NA	NA	NA	MF398190.1
MF398190.1_72	26245	26824	-	2642	unknown function	lysis	2.5965	0.3763	MF398190.1
MF398190.1_73	26816	27443	-	1817	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_74	27435	28332	-	548	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_75	28331	28556	-	3093	unknown function	lysis	3.9830	0.2451	MF398190.1
MF398190.1_76	28624	29365	-	170	other	NA	NA	NA	MF398190.1
MF398190.1_77	29416	30031	-	2995	unknown function	DNA, RNA and nucleotide metabolism	2.3609	0.2288	MF398190.1
MF398190.1_78	30046	30472	-	531	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_79	30461	30653	-	2706	unknown function	moron, auxiliary metabolic gene and host takeover	8.9153	0.4807	MF398190.1
MF398190.1_80	30675	31317	-	2896	unknown function	DNA, RNA and nucleotide metabolism	2.5200	0.2074	MF398190.1
MF398190.1_81	31306	31537	-	3	transcription regulation	NA	NA	NA	MF398190.1
MF398190.1_82	31539	31767	-	2770	unknown function	moron, auxiliary metabolic gene and host takeover	4.4594	0.2307	MF398190.1
MF398190.1_83	31876	32569	-	3310	other	NA	NA	NA	MF398190.1
MF398190.1_84	32755	33391	-	374	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_85	33457	34249	-	200	other	NA	NA	NA	MF398190.1
MF398190.1_86	34248	34557	-	3667	unknown function	moron, auxiliary metabolic gene and host takeover	5.9547	0.2577	MF398190.1
MF398190.1_87	34669	35299	-	833	lysis	NA	NA	NA	MF398190.1
MF398190.1_88	35534	35624	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.1403	0.1693	MF398190.1
MF398190.1_89	35569	36070	-	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_90	36162	36264	+	No_PHROG	unknown function	lysis	3.6030	0.1796	MF398190.1
MF398190.1_91	36229	37033	-	635	lysis	NA	NA	NA	MF398190.1
MF398190.1_92	37032	37536	-	962	lysis	NA	NA	NA	MF398190.1
MF398190.1_93	37620	37806	-	987	unknown function	DNA, RNA and nucleotide metabolism	3.1999	0.2087	MF398190.1
MF398190.1_94	37868	37997	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	7.1349	0.2587	MF398190.1
MF398190.1_95	38207	38312	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	8.7653	0.4507	MF398190.1
MF398190.1_96	38481	38604	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	8.7909	0.4553	MF398190.1
MF398190.1_97	38994	39102	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.3571	0.6116	MF398190.1
MF398190.1_98	39102	39273	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.2553	0.5748	MF398190.1
MF398190.1_99	39352	39571	-	1257	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_100	40048	40258	-	17190	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_101	40270	40603	-	937	other	NA	NA	NA	MF398190.1
MF398190.1_102	40615	40942	-	1481	unknown function	head and packaging	1.2886	0.3392	MF398190.1
MF398190.1_103	40974	41241	-	4526	unknown function	moron, auxiliary metabolic gene and host takeover	9.8770	0.9067	MF398190.1
MF398190.1_104	41335	41428	-	No_PHROG	unknown function	head and packaging	1.1090	0.3714	MF398190.1
MF398190.1_105	41501	41768	+	3395	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_106	41745	42024	+	1321	unknown function	head and packaging	3.2764	0.2775	MF398190.1
MF398190.1_107	42104	42431	+	1063	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_108	42535	42634	-	No_PHROG	unknown function	head and packaging	2.5015	0.3700	MF398190.1
MF398190.1_109	42936	43908	+	559	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_110	44048	45596	+	675	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_111	45588	46410	+	1917	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_112	46480	46570	+	3863	unknown function	head and packaging	3.9295	0.2280	MF398190.1
MF398190.1_113	46566	47046	+	1116	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_114	47138	48287	+	3094	unknown function	head and packaging	2.4208	0.2162	MF398190.1
MF398190.1_115	48429	48714	+	3937	unknown function	head and packaging	1.8701	0.2640	MF398190.1
MF398190.1_116	48791	49103	+	1108	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_117	49106	50798	+	12	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_118	51024	51765	+	1028	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_119	51783	52740	+	1133	unknown function	head and packaging	9.3533	0.6088	MF398190.1
MF398190.1_120	52855	54247	+	752	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_121	54338	54635	+	1205	unknown function	head and packaging	7.8360	0.3272	MF398190.1
MF398190.1_122	54647	55556	+	772	tail	NA	NA	NA	MF398190.1
MF398190.1_123	55569	56448	+	1004	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_124	56447	57068	+	1127	connector	NA	NA	NA	MF398190.1
MF398190.1_125	57086	57923	+	1000	tail	NA	NA	NA	MF398190.1
MF398190.1_126	57924	58140	+	1151	unknown function	head and packaging	8.1995	0.3998	MF398190.1
MF398190.1_127	58166	59930	+	279	tail	NA	NA	NA	MF398190.1
MF398190.1_128	60002	60431	+	985	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_129	60527	60668	+	2701	unknown function	head and packaging	7.0652	0.3143	MF398190.1
MF398190.1_130	60710	61169	+	1905	unknown function	head and packaging	4.5562	0.3264	MF398190.1
MF398190.1_131	61181	61376	+	4320	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_132	61457	61769	+	2754	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_133	61900	62359	+	1038	tail	NA	NA	NA	MF398190.1
MF398190.1_134	62402	62939	+	1316	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_135	62991	67050	+	1047	tail	NA	NA	NA	MF398190.1
MF398190.1_136	67128	69555	+	1015	tail	NA	NA	NA	MF398190.1
MF398190.1_137	69568	70456	+	2677	tail	NA	NA	NA	MF398190.1
MF398190.1_138	70455	73002	+	2204	other	NA	NA	NA	MF398190.1
MF398190.1_139	73108	73900	+	1011	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_140	73899	74424	+	1073	unknown function	head and packaging	5.7314	0.2985	MF398190.1
MF398190.1_141	74423	75128	+	975	tail	NA	NA	NA	MF398190.1
MF398190.1_142	75142	76189	+	6	tail	NA	NA	NA	MF398190.1
MF398190.1_143	76209	79269	+	2386	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_144	79379	79901	+	1394	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_145	79921	83380	+	25864	tail	NA	NA	NA	MF398190.1
MF398190.1_146	83428	83587	+	1074	unknown function	head and packaging	2.6311	0.2661	MF398190.1
MF398190.1_147	83587	85510	+	2665	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_148	85532	85907	+	2671	tail	NA	NA	NA	MF398190.1
MF398190.1_149	85913	87290	+	2691	tail	NA	NA	NA	MF398190.1
MF398190.1_150	87381	89130	+	16	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_151	89141	90755	+	1098	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_152	90747	92190	+	19	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_153	92268	93306	+	100	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_154	93305	93683	+	2773	unknown function	moron, auxiliary metabolic gene and host takeover	8.6478	0.4264	MF398190.1
MF398190.1_155	93682	95602	+	77	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_156	95601	96198	+	1070	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_157	96212	97280	+	47	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_158	97346	97685	+	1291	unknown function	moron, auxiliary metabolic gene and host takeover	8.4361	0.3902	MF398190.1
MF398190.1_159	97684	98137	+	1095	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_160	98123	98732	+	244	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_161	98748	99141	+	883	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_162	99155	101270	+	84	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_163	101283	102333	+	86	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_164	102350	102680	+	2797	unknown function	moron, auxiliary metabolic gene and host takeover	7.5688	0.2917	MF398190.1
MF398190.1_165	102663	102984	+	22	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_166	103012	103120	-	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.6903	0.7701	MF398190.1
MF398190.1_167	103190	103787	+	15477	other	NA	NA	NA	MF398190.1
MF398190.1_168	103796	104102	+	379	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_169	104177	105050	+	4008	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_170	105215	105728	+	2340	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_171	105863	107207	+	17	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_172	107272	107368	+	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.7717	0.2244	MF398190.1
MF398190.1_173	107474	108182	+	59	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_174	108242	108347	-	No_PHROG	unknown function	DNA, RNA and nucleotide metabolism	1.9095	0.2092	MF398190.1
MF398190.1_175	108415	109276	+	2573	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_176	109344	109587	+	3621	unknown function	head and packaging	1.1660	0.1784	MF398190.1
MF398190.1_177	109603	110086	+	1069	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_178	110172	111444	+	2672	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_179	111503	111728	+	8290	other	NA	NA	NA	MF398190.1
MF398190.1_180	112072	113041	+	4645	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_181	113188	114136	+	97	other	NA	NA	NA	MF398190.1
MF398190.1_182	114139	114493	+	1089	unknown function	moron, auxiliary metabolic gene and host takeover	1.4055	0.2460	MF398190.1
MF398190.1_183	114479	115142	+	1025	transcription regulation	NA	NA	NA	MF398190.1
MF398190.1_184	115147	115246	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	4.7023	0.2353	MF398190.1
MF398190.1_185	115269	115902	+	1240	other	NA	NA	NA	MF398190.1
MF398190.1_186	115915	116146	+	1696	tail	NA	NA	NA	MF398190.1
MF398190.1_187	116241	116502	+	2673	unknown function	head and packaging	2.0645	0.1961	MF398190.1
MF398190.1_188	116505	117261	+	1850	other	NA	NA	NA	MF398190.1
MF398190.1_189	117253	118504	+	284	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_190	118517	118886	+	2892	unknown function	moron, auxiliary metabolic gene and host takeover	8.5040	0.4016	MF398190.1
MF398190.1_191	118872	119184	+	3644	unknown function	head and packaging	1.0194	0.1922	MF398190.1
MF398190.1_192	119247	119784	+	1080	unknown function	head and packaging	1.9435	0.1883	MF398190.1
MF398190.1_193	119776	120544	+	984	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_194	120521	120968	+	2356	unknown function	head and packaging	2.2986	0.1820	MF398190.1
MF398190.1_195	120967	121831	+	1113	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_196	122202	122934	+	1007	unknown function	head and packaging	6.3966	0.2735	MF398190.1
MF398190.1_197	122951	123410	+	1104	head and packaging	NA	NA	NA	MF398190.1
MF398190.1_198	123474	123918	+	1303	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_199	123934	124639	+	2726	unknown function	head and packaging	1.6064	0.1760	MF398190.1
MF398190.1_200	124700	125099	+	2863	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_201	125245	125488	+	3157	unknown function	head and packaging	1.1917	0.1781	MF398190.1
MF398190.1_202	125492	125657	+	6754	unknown function	moron, auxiliary metabolic gene and host takeover	5.2937	0.2084	MF398190.1
MF398190.1_203	125643	125823	+	7869	unknown function	head and packaging	1.2345	0.1857	MF398190.1
MF398190.1_204	125858	126035	+	3664	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_205	126024	126558	+	3854	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_206	126572	126689	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	9.4326	0.6408	MF398190.1
MF398190.1_207	126713	126890	+	3524	unknown function	moron, auxiliary metabolic gene and host takeover	6.2280	0.2430	MF398190.1
MF398190.1_208	126882	127179	+	3128	unknown function	DNA, RNA and nucleotide metabolism	1.0958	0.2110	MF398190.1
MF398190.1_209	127226	127409	+	3640	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_210	127421	127790	+	3669	unknown function	moron, auxiliary metabolic gene and host takeover	7.9361	0.3521	MF398190.1
MF398190.1_211	127802	128150	+	2988	unknown function	moron, auxiliary metabolic gene and host takeover	6.1065	0.2384	MF398190.1
MF398190.1_212	128155	128428	+	3804	unknown function	moron, auxiliary metabolic gene and host takeover	9.4376	0.6447	MF398190.1
MF398190.1_213	128497	128803	+	3143	unknown function	moron, auxiliary metabolic gene and host takeover	6.4344	0.2199	MF398190.1
MF398190.1_214	128817	129168	+	3752	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_215	129167	129770	+	4208	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_216	129783	129963	+	3701	unknown function	moron, auxiliary metabolic gene and host takeover	7.6379	0.2977	MF398190.1
MF398190.1_217	130091	130190	+	No_PHROG	unknown function	moron, auxiliary metabolic gene and host takeover	8.8977	0.4771	MF398190.1
MF398190.1_218	130189	130591	+	1486	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_219	130592	130853	+	11913	unknown function	moron, auxiliary metabolic gene and host takeover	8.8794	0.4721	MF398190.1
MF398190.1_220	130904	131192	+	1486	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_221	131202	131319	+	4580	transcription regulation	NA	NA	NA	MF398190.1
MF398190.1_222	131308	131572	+	4584	other	NA	NA	NA	MF398190.1
MF398190.1_223	131648	131828	+	4743	unknown function	moron, auxiliary metabolic gene and host takeover	9.7600	0.8170	MF398190.1
MF398190.1_224	131842	132106	+	4418	unknown function	moron, auxiliary metabolic gene and host takeover	4.7864	0.2236	MF398190.1
MF398190.1_225	132108	132426	+	4081	unknown function	moron, auxiliary metabolic gene and host takeover	5.2681	0.2239	MF398190.1
MF398190.1_226	132426	133107	+	4650	unknown function	DNA, RNA and nucleotide metabolism	2.2247	0.2257	MF398190.1
MF398190.1_227	133195	133354	+	4430	moron, auxiliary metabolic gene and host takeover	NA	NA	NA	MF398190.1
MF398190.1_228	133388	133589	+	3453	unknown function	moron, auxiliary metabolic gene and host takeover	5.3741	0.2133	MF398190.1
MF398190.1_229	133589	133880	+	4096	unknown function	moron, auxiliary metabolic gene and host takeover	8.6018	0.4172	MF398190.1
MF398190.1_230	133971	134280	+	1099	DNA, RNA and nucleotide metabolism	NA	NA	NA	MF398190.1
MF398190.1_231	134276	135185	+	619	other	NA	NA	NA	MF398190.1
MF398190.1_232	135202	136672	+	448	other	NA	NA	NA	MF398190.1
MF398190.1_233	136750	136996	+	4028	unknown function	moron, auxiliary metabolic gene and host takeover	3.2803	0.2632	MF398190.1
