Phage,Accession,Protein_ID,Product,Length_aa,Inferred_Domain,InterPro_Domain,InterPro_Verdict,Classification,Selected,tBLASTn_Identity_pct,tBLASTn_Note,Runtime_Flag,shared_by,Evidence
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_134,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_135,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_136,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_221,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
NC_047726.1 - Phynteny annotated genome,NC_047726.1,NC_047726.1_236,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_85,endolysin,209,LysK-type (unspecified),,,free-endolysin,Yes,,,,EU418428.2;MF398190.1;MN047438.1;MN336261.1;NC_023009.1;NC_047722.1;NC_047723.1;NC_047725.1;NC_047726.1,matched 'endolysin'; inferred LysK-type (unspecified); free-endolysin (top of 9 candidate(s))
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_89,endolysin,267,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_100,hemolysin,110,LysK-type (unspecified),,,free-endolysin,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_132,tail assembly chaperone,152,CHAP,,,non-endolysin,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_134,tail associated lysin,1352,LysK-type (unspecified),,,vaph,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_135,tail protein with lysin activity,808,LysK-type (unspecified),,,vaph,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_136,tail protein with lysin activity,295,LysK-type (unspecified),,,vaph,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_220,carboxypeptidase,87,Peptidase (unspecified — verify),,,uncertain,No,,,,,
NC_047727.1 - Phynteny annotated genome,NC_047727.1,NC_047727.1_235,endolysin,169,LysK-type (unspecified),,,free-endolysin,No,,,,,
